archive_run,row,x1,x2,x3,x4,x5,x6,x7,archived_inverse_inertia,recomputed_inverse_inertia,archived_section_area_m2,recomputed_section_area_m2,archived_effective_Ez_Pa,recomputed_effective_Ez_Pa,radius_1_mm,radius_2_mm,physically_feasible_Rmin_0p9,inverse_inertia_relative_error,section_area_relative_error,Ez_relative_error
EPSO_2,33,2.897384418418641,6.71971918585179,8.089421274323291,7.5437677918240755,4.239573505915475,0.3923410044017931,0.35995477654795854,255.0050030409953,255.00871182208442,9.699967000490373e-06,9.687572367341335e-06,3335553.8040510337,3337154.2463852307,0.6624460384536967,0.6125186233908569,False,1.4543954216202257e-05,0.001277801578954955,0.00047981307699286905
EPSO_2,34,5.997304787799802,4.182183764156008,8.755891766054932,3.6294153544759458,4.346898278694328,0.671387169989264,0.6493231984012976,250.6387304267432,250.64285518541033,9.823934410494554e-06,9.8088925552256e-06,5136508.362320359,5140234.452143962,1.1545068825109284,0.9190062002254489,True,1.6456988351755902e-05,0.0015311436986881815,0.0007254129772154172
EPSO_2,35,3.4156939783863116,4.315104028073518,9.141056986639718,4.49863344707009,5.509346872803825,0.5209667569551536,0.47902979929738093,251.5486349921544,251.55056176100487,9.797885578871588e-06,9.78424830217853e-06,4313482.244407245,4316873.285986323,0.8830416023170711,0.8509285006107122,False,7.659627532970062e-06,0.0013918591499441997,0.0007861494233515607
EPSO_2,36,5.305337030609807,3.540228435028822,8.985209581934317,3.5152577075049516,6.275750578028537,0.7081491052721154,0.7048357855466977,249.83139972314717,249.83554565398035,9.852687815557968e-06,9.837475728622173e-06,5948842.021836631,5952751.952933279,1.0152476126735124,0.9763416832398324,True,1.659491496172867e-05,0.0015439530025272807,0.0006572591913343033
EPSO_2,37,3.042717842558432,6.704866942109442,8.500633471633614,7.446858435706064,2.815426124167375,0.25304481168634074,0.19036695054034125,255.3417036735232,255.34467866512225,9.693754372575424e-06,9.679787892766566e-06,3040328.9167523533,3041465.6812749165,0.47564532986890745,0.44416582085358586,False,1.1651021185517935e-05,0.0014407709615966717,0.0003738952441295332
EPSO_2,38,2.681010250531453,5.046690063761774,10.0,5.379550847470535,10.0,0.5630575612359627,0.5824399992814211,251.19105833311863,251.18585838530953,9.808350736082432e-06,9.795379028931712e-06,5036936.595677865,5040909.301931831,0.8584068825077636,1.3382977086863557,False,2.070116605109181e-05,0.0013225166493078444,0.0007887147631310763
EPSO_2,39,5.163544330985498,6.491142853692921,10.0,5.03870102905556,6.27036138036957,0.5146946679869553,0.47850019992891546,252.0434292872684,252.04923476123383,9.779851061625035e-06,9.765392236342787e-06,4465289.743723688,4466134.153032594,1.1516248149104866,0.8280651586702822,False,2.303362552181924e-05,0.0014784300078948549,0.00018910515495518013
EPSO_2,40,3.780936896140868,4.199580052501054,8.86082704469848,4.967241157564086,6.221642425114734,0.5854002610447392,0.5730888424418983,251.41271454509115,251.4149687454007,9.800071031267098e-06,9.78680066925527e-06,4663802.639318157,4667247.754950364,0.9333882560186347,0.9351271984945662,True,8.966134881561971e-06,0.001354108757935527,0.0007386924144609184
EPSO_2,41,3.093054659196686,5.722074011870546,8.682895111690453,6.057008878622886,4.704188995734903,0.4388275168205884,0.4007910480195739,253.5210507620332,253.52390101647222,9.738721813989998e-06,9.725414286177593e-06,3604525.019531677,3606691.233154474,0.8337956819249137,0.7235570702490128,False,1.1242673657447688e-05,0.0013664552768402247,0.0006009706163943518
EPSO_2,42,2.7495294320841426,6.32605079431476,8.65992843027142,6.462997657524253,3.973197594425507,0.3694650946987153,0.3149731802794621,254.4229091583957,254.42515227633373,9.716074674410156e-06,9.702550476021873e-06,3265533.192934459,3267319.002634546,0.6101325199635387,0.5436423633213009,False,8.816493551843346e-06,0.0013919405563958705,0.0005468661913927619
EPSO_2,43,4.642304333294453,1.9225440339562017,9.299527350052271,2.7354148280848642,8.112846470878296,0.7677717209835068,0.7764972509109831,248.0595568305565,248.0578522019518,9.92229267933848e-06,9.908877421397675e-06,8461822.95772532,8471478.644964643,0.9596882875185353,0.9836761758000351,True,6.871852173240399e-06,0.0013520320730652103,0.0011410883077514094
EPSO_2,44,2.148103244704646,1.9745720341850628,9.403975798422602,2.7691380344565735,9.463645237125258,0.9952478227078881,0.9958006707190341,248.20800068699847,248.1992561957169,9.914583559585805e-06,9.904127234600375e-06,7576484.982264726,7585513.457484602,0.9950482631108685,1.1724069131929604,True,3.523049723360245e-05,0.0010546408654067744,0.0011916443101266236
EPSO_2,45,3.344064150624613,4.990944870784846,8.826803991908896,5.496407250662322,5.274637842246329,0.4947207913045403,0.4620324313183782,252.56321374650972,252.56576006031167,9.766069758595636e-06,9.7528825883795e-06,3975901.2470025104,3978438.0691944812,0.8765211228410713,0.8466731293485767,False,1.0081887081596639e-05,0.0013503047328255007,0.0006380495979077538
EPSO_2,46,1.7323883076804591,4.922749041158218,10.0,5.993946258500461,10.0,0.5505748346565473,0.6016424032903194,251.8116835643236,251.7981934859418,9.789689829967e-06,9.775475603070943e-06,4619004.676446827,4623566.2987535875,0.7332528143116757,1.490482804370851,False,5.3572090821436703e-05,0.001451958861101711,0.0009875768972525552
