case,seed,member,d1,d2,d3,d4,d5,w1,w2,pitch_mm,height_mm,thickness_mm,surrogate_objective_1,surrogate_objective_2,surrogate_feasible,surrogate_violation,arc_length_mm,radius_1_mm,radius_2_mm,radius_min_mm,aspect_ratio_H_over_P,thickness_ratio_t_over_H,thickness_ratio_t_over_P,curvature_index_t_over_Rmin,core_material_fraction,board_material_fraction,geometry_feasible,trust_distance,predicted_potential_number,predicted_potential_std,predicted_stress_utilization,predicted_stress_upper
C037,11,16,0.10138267470993403,10.0,10.0,5.6864870333720425,10.0,0.004676333196041688,0.0,7.23910930743973,3.9994546059213048,0.15,0.134176868679439,1343.6876232351087,True,0.0,11.42014353758428,0.9573138204672151,1.0182058907185967,0.9573138204672151,0.5524788252348962,0.037505113766742294,0.020720781194150915,0.15668843047392003,0.05916664114595443,0.134176868679439,1.0,1.0773238656396236,0.0007442205931705804,3.133770083536763e-05,0.4941280004670558,0.5111849708983456
C037,83,21,0.13985066034111698,10.0,9.651067902615289,0.4857712915510095,10.0,0.1976297397104518,0.14303555725148162,7.644772343540688,3.982438667390625,0.15,0.13441597302704048,1323.9582723048982,True,0.0,11.992271225560716,1.0775849830624353,1.3636082397446638,1.0775849830624353,0.5209362016850004,0.037665363494042974,0.019621251393671622,0.13920015809213349,0.05908524603895453,0.13441597302704048,1.0,1.2464778887638766,0.0007553108137306212,4.3122190378130684e-05,0.5126636721120786,0.5297206425433684
C037,83,24,0.1,10.0,10.0,1.751657878062737,10.0,0.0,0.007757253357111971,7.442945802503294,4.0,0.15,0.13443913034700034,1305.1289858171783,True,0.0,11.797392685884063,0.9940550273705293,1.3515821375963035,0.9940550273705293,0.5374216212423145,0.0375,0.020153310796586794,0.15089707900454913,0.059439130347000345,0.13443913034700034,1.0,0.8812131173097946,0.0007662077931507065,3.6589152455823124e-05,0.5135950395003641,0.5306520099316538
C037,83,19,0.1,10.0,10.0,0.1,10.0,0.07865863018808124,0.0,7.397439153496444,4.0,0.15,0.13527284451843205,1233.7228346746285,True,0.0,11.88972533155341,1.0004923872835019,1.4284467250339619,1.0004923872835019,0.5407276649392074,0.0375,0.02027728743522028,0.14992617825636254,0.06027284451843207,0.13527284451843205,1.0,0.8748022555075831,0.0008105548279518807,4.667893850199205e-05,0.5210492164212549,0.5381061868525446
C037,83,11,0.1,10.0,10.0,0.1,10.0,0.013179312818693709,0.0,7.347149440717565,4.0,0.15,0.13558954889574948,1206.8951603238054,True,0.0,11.870945874206274,0.9386532764610447,1.4621188700960093,0.9386532764610447,0.5444288335598816,0.0375,0.020416081258495557,0.15980341598075185,0.06058954889574947,0.13558954889574948,1.0,0.8308459150599948,0.0008285723838114521,4.3762749453237424e-05,0.5213554499859654,0.5384124204172551
C037,29,7,0.1,10.0,10.0,2.3222501298185136,10.0,0.01470834264669077,0.006707330490345498,7.046528385616512,4.0,0.15,0.13600718409900683,1172.218538923281,True,0.0,11.463702786138239,0.9337452332230722,1.1702595527475923,0.9337452332230722,0.5676554157029814,0.0375,0.021287078088861804,0.16064339036273817,0.06100718409900682,0.13600718409900683,1.0,1.0561884183075805,0.0008530832492365554,4.882419388536872e-05,0.5175345387387853,0.534591509170075
C037,83,10,0.1,10.0,10.0,0.9427137745848739,10.0,0.1828045509238712,0.0,6.899418315404817,3.984573781542057,0.15,0.13734396697720555,1088.4678610405717,True,0.0,11.372870976124418,1.098214812613292,0.9990758286102499,0.9990758286102499,0.5775231475159897,0.0376451806953237,0.021740963243971515,0.15013875394088488,0.06205360558655817,0.13734396697720555,1.0,1.2117289266390143,0.0009187225785830767,5.883644563637719e-05,0.5296705621295521,0.5467275325608418
C037,3,16,0.1,5.404390000262036,9.998609047278237,3.71134716750279,10.0,0.07288901827796329,0.033673151412964855,6.487391750646489,4.0,0.15,0.13918681871925306,1079.6660635401397,True,0.0,11.104134353587307,1.0741459200700938,1.084343057588166,1.0741459200700938,0.6165806157153046,0.0375,0.02312177308932392,0.1396458313505596,0.06418681871925308,0.13918681871925306,1.0,1.3360785439570313,0.0009262123111669167,2.7904611063417764e-05,0.5303468596975909,0.5474038301288806
C037,11,9,0.1,10.0,9.997849483425995,2.1063550621523164,9.982966325064195,0.06646871158474402,0.0,6.665455751313531,3.9245401833757856,0.15,0.1399415205073995,1054.167304765817,True,0.0,11.073815796727768,0.9041041443899109,1.0532115510522155,0.9041041443899109,0.5887879733658714,0.038221038132159976,0.022504087581774163,0.1659100900385983,0.06349944424307956,0.1399415205073995,1.0,1.1328667608120337,0.000948616026582374,5.8958495901562246e-05,0.524681711716015,0.5417386821473047
C037,83,25,6.492803316421845,5.858753372842571,9.625409369280973,0.1002168803539975,3.978375967450039,0.009513865264279997,0.0,6.5098690359908975,4.0,0.15,0.14045714060380743,1042.3253111891,True,0.0,11.363131008032761,0.9239172613259881,1.3270092740033363,0.9239172613259881,0.6144516852620739,0.0375,0.023041938197327774,0.1623522000062245,0.06545714060380743,0.14045714060380743,1.0,1.5163740848445937,0.000959393376775227,3.55330368270804e-05,0.5465840559446297,0.5636410263759194
