design_id,split,d1,d2,d3,d4,d5,w1,w2,pitch_mm,height_mm,thickness_mm,arc_length_mm,radius_1_mm,radius_2_mm,radius_min_mm,aspect_ratio_H_over_P,thickness_ratio_t_over_H,thickness_ratio_t_over_P,curvature_index_t_over_Rmin,core_material_fraction,board_material_fraction,geometry_feasible
D061,train,0.21244958470427855,0.1,10.0,0.10023221379266414,8.92924536600052,0.011708209224065605,0.020482871077862553,7.863072894252734,3.9607956569701823,0.15,12.781634040058693,1.3678811670166624,1.3805052362901893,1.3678811670166624,0.5037210910082243,0.037871178669879366,0.01907651143735902,0.10965864843884704,0.06156060778450623,0.13730296512426493,1.0
D062,train,9.555230247473187,0.10097106527327976,9.469188634487008,0.10860747519074912,0.1,0.0,0.0,7.671314088862587,3.991644479079558,0.24598725372948385,12.675041719271606,1.38849067931619,1.3869156549832846,1.3869156549832846,0.5203338610362377,0.06162554180832422,0.03206585610757543,0.17736280706446314,0.10182170933755097,0.2250727929541994,1.0
D063,train,0.1,0.10972992606201307,4.711660742718406,0.1,9.860684057070246,0.0,0.03717594149890696,7.8248990501414,3.3734239330794056,0.24666588585980254,11.873837697989583,0.9509628844845378,1.0010160484369683,0.9509628844845378,0.43111405162708727,0.07312033434073474,0.0315232035939614,0.25938539756312984,0.11095593397705615,0.2571966026585256,1.0
D064,test,8.406095963776405,10.0,7.05535831974475,4.692017453285631,0.10218299245306302,0.1669657824893244,0.013539924887833383,7.9,2.385829420296766,0.15,9.582040947083474,1.3739689819580416,1.2495914977553695,1.2495914977553695,0.3020037240881982,0.0628712173317663,0.018987341772151896,0.12003922903560381,0.07625754162860367,0.20199997629213629,1.0
D065,train,10.0,4.6428955556925136,9.622782240105686,9.261490657980852,9.502152631182124,0.0,0.0,7.844888935706887,2.2,0.15000218133548862,9.520730594695374,1.3897389408831533,1.1053883548714012,1.1053883548714012,0.28043736731395325,0.06818280969794936,0.0191210076477612,0.13570088799509705,0.08274816477883831,0.21911378417473704,1.0
D066,train,2.114131205568169,9.57973802338069,9.238885373442416,3.362456032917403,9.412034932511483,0.1751408447522,0.0,7.865039403658843,3.007848623887629,0.15204880368667498,10.508390434312293,1.4335783634645156,1.2692524066035638,1.2692524066035638,0.38243274693428336,0.050550683461640655,0.019332236735640683,0.11979398494389908,0.06754019799177793,0.16864156491505924,1.0
D067,train,0.1,0.1,10.0,0.1,10.0,0.1968566965461034,0.047916331255987585,6.158882500428424,4.0,0.25,11.50539258208602,1.4513434197338155,0.9358477571641544,0.9358477571641544,0.649468470899023,0.0625,0.04059177943118894,0.2671374676983366,0.11675608949031828,0.24175608949031827,1.0
D068,test,10.0,10.0,10.0,6.1551668664007915,0.10569767741922327,0.0,0.0,7.9,3.842027926110291,0.15,11.634535397430035,1.1529114411339103,1.2301306504199303,1.1529114411339103,0.48633264887472033,0.0390418817574451,0.018987341772151896,0.13010539634550955,0.0574979943404143,0.1355817578553045,1.0
D069,train,0.1,6.366562500224667,6.19028051201217,8.846463212915358,10.0,0.0002598583379332737,0.0,7.9,2.200832189930383,0.15,9.350567768045654,1.1013757097347097,1.0976999124597175,1.0976999124597175,0.2785863531557447,0.06815603692380781,0.018987341772151896,0.13664936864564484,0.0806705876022135,0.2169826614498291,1.0
D070,train,0.10072044610015261,7.2030854085959355,10.0,4.625867327251896,9.616862661346378,0.0,0.049687618402595723,7.9,4.0,0.20268429291816392,12.00170265216977,1.2362908635768888,1.4645622927280217,1.2362908635768888,0.5063291139240506,0.05067107322954098,0.025656239609894167,0.16394547504116402,0.0769796397426925,0.17832178620177447,1.0
D071,train,0.1,2.6136245683021535,9.617486763820336,0.1,9.437950987778919,0.1425824947383004,0.044041016086515346,7.839914748300673,4.0,0.2446303813199246,12.520775389633819,1.4434285599417342,1.5955155920846562,1.4434285599417342,0.510209629622186,0.06115759532998115,0.031203194061893213,0.16947868991160836,0.09767204607203016,0.21998723673199247,1.0
D072,test,4.36102717373357,5.428405519240673,5.322892244261718,2.157345659579639,0.1,0.0,0.0,7.9,2.701607850721987,0.15,10.076184326153552,1.2354042981850295,1.5184291468531081,1.2354042981850295,0.3419756773065806,0.055522491896784154,0.018987341772151896,0.12141774172258395,0.07081707121510937,0.18186205500867766,1.0
D073,train,10.0,0.10282542053760971,4.5221322928118575,0.11133923642888638,0.1,0.0,0.0,7.861179782449584,2.9775714987114474,0.18396850634605433,11.29483183734322,0.9391208717438827,0.9370531384470954,0.9370531384470954,0.3787690373598886,0.061784748552861694,0.023402149732890194,0.19632665299102556,0.08877145216486254,0.21234094927058594,1.0
D074,train,9.688130401997752,5.289878509328914,8.48240694332431,3.201669797132343,9.988499354543732,0.1384245652173134,0.02653648087415692,7.732278530201846,2.220807914609373,0.15053032862012544,9.582090175277328,1.0934330256741551,1.1058727501438195,1.0934330256741551,0.287212612160183,0.06778178681275226,0.019467784047375224,0.13766762580389055,0.08399738717951502,0.21956096080501958,1.0
D075,train,0.10711378900062772,10.0,4.711132802279122,2.673475971003696,7.3475425770139475,0.13861041129597726,0.03291224397899139,7.9,2.3164419753930945,0.15,9.572078351928674,0.964780594189952,0.9428015876517376,0.9428015876517376,0.29322050321431575,0.06475448191381758,0.018987341772151896,0.1591002836276604,0.07846012335665949,0.20796908718429463,1.0
D076,test,10.0,0.1,8.24291416651182,6.516012150219384,0.1,0.0,0.0,7.885826432096009,2.508068095893644,0.15,10.164160024644266,2.5236014811906378,0.9203922873267599,0.9203922873267599,0.3180475905081534,0.05980698859237067,0.01902146861735211,0.16297398627238455,0.07708612507254442,0.19670010225728576,1.0
D077,train,8.318731526049332,1.3954642790210503,7.674225674086028,0.1,0.1,0.05496483291294034,0.0,7.9,2.3548199880037797,0.15,10.167696046883563,0.9202265176462707,1.3065699311338976,0.9202265176462707,0.29807847949414934,0.06369913656421675,0.018987341772151896,0.16300334441966066,0.0819839821561877,0.2093822552846212,1.0
D078,train,10.0,3.5726715203055006,8.06099341788747,0.41536523359105615,0.1,0.003724888431950995,0.029373224156923443,7.690093958506718,2.2,0.15955695132700162,9.629193015860901,0.9177544959440229,1.877923524568949,0.9177544959440229,0.28608233031618274,0.07252588696681891,0.020748374751715624,0.17385581005830733,0.09081368420440214,0.23586545813803997,1.0
D079,train,9.441549825862568,0.1,4.4295588106134955,0.10165173471681127,0.1048161497419413,0.10860313239854374,0.08122982886216368,7.865753295231278,4.0,0.21099223862755193,12.920829988364813,0.9850745066229704,0.9201352196627531,0.9201352196627531,0.5085336203495037,0.05274805965688798,0.02682416174372884,0.22930568694553888,0.08664760836777995,0.1921437276815559,1.0
