case,seed,generation,evaluations,hypervolume,normalized_hypervolume,reference_objective_1,reference_objective_2
C037,29,15,540,1040.6127106511265,0.6155012600263464,0.423942885276629,3987.9786881590203
C037,29,16,576,1040.8643172173618,0.6156500801944681,0.423942885276629,3987.9786881590203
C037,29,17,612,1041.3059243666517,0.6159112818442678,0.423942885276629,3987.9786881590203
C037,29,18,648,1041.3971694419433,0.6159652514510565,0.423942885276629,3987.9786881590203
C037,29,19,684,1041.3839593241742,0.6159574379349917,0.423942885276629,3987.9786881590203
C037,29,20,720,1041.3644083033944,0.6159458739037228,0.423942885276629,3987.9786881590203
C037,29,21,756,1041.5805527484647,0.6160737189482113,0.423942885276629,3987.9786881590203
C037,29,22,792,1041.6016561261024,0.6160862011669982,0.423942885276629,3987.9786881590203
C037,29,23,828,1041.624896273663,0.6160999472417484,0.423942885276629,3987.9786881590203
C037,29,24,864,1041.624896273663,0.6160999472417484,0.423942885276629,3987.9786881590203
C037,29,25,900,1041.6367952451897,0.6161069852414699,0.423942885276629,3987.9786881590203
C037,29,26,936,1041.63943568297,0.6161085470067302,0.423942885276629,3987.9786881590203
C037,29,27,972,1041.629979221892,0.6161029537022766,0.423942885276629,3987.9786881590203
C037,29,28,1008,1041.6828082327595,0.6161342009880555,0.423942885276629,3987.9786881590203
C037,29,29,1044,1041.6828082327595,0.6161342009880555,0.423942885276629,3987.9786881590203
C037,29,30,1080,1041.6828082327595,0.6161342009880555,0.423942885276629,3987.9786881590203
C037,29,31,1116,1042.4434203402936,0.6165840875844681,0.423942885276629,3987.9786881590203
C037,29,32,1152,1042.4751803879533,0.6166028730068956,0.423942885276629,3987.9786881590203
C037,29,33,1188,1042.4751803879533,0.6166028730068956,0.423942885276629,3987.9786881590203
C037,29,34,1224,1042.4751803879533,0.6166028730068956,0.423942885276629,3987.9786881590203
C037,29,35,1260,1042.8396994601303,0.6168184786264813,0.423942885276629,3987.9786881590203
C037,29,36,1296,1042.8396994601303,0.6168184786264813,0.423942885276629,3987.9786881590203
C037,29,37,1332,1042.8396994601303,0.6168184786264813,0.423942885276629,3987.9786881590203
C037,29,38,1368,1042.8396994601303,0.6168184786264813,0.423942885276629,3987.9786881590203
C037,29,39,1404,1042.8396994601303,0.6168184786264813,0.423942885276629,3987.9786881590203
C037,29,40,1440,1043.1939720351745,0.6170280236513503,0.423942885276629,3987.9786881590203
C037,29,41,1476,1043.1939720351745,0.6170280236513503,0.423942885276629,3987.9786881590203
C037,29,42,1512,1043.1939720351745,0.6170280236513503,0.423942885276629,3987.9786881590203
C037,29,43,1548,1043.1939720351745,0.6170280236513503,0.423942885276629,3987.9786881590203
C037,29,44,1584,1043.1939720351745,0.6170280236513503,0.423942885276629,3987.9786881590203
C037,29,45,1620,1043.1939720351745,0.6170280236513503,0.423942885276629,3987.9786881590203
C037,29,46,1656,1043.1939720351745,0.6170280236513503,0.423942885276629,3987.9786881590203
C037,29,47,1692,1043.1939720351745,0.6170280236513503,0.423942885276629,3987.9786881590203
C037,29,48,1728,1043.1939720351745,0.6170280236513503,0.423942885276629,3987.9786881590203
C037,29,49,1764,1043.1939720351745,0.6170280236513503,0.423942885276629,3987.9786881590203
C037,29,50,1800,1043.2326482419023,0.6170508998412434,0.423942885276629,3987.9786881590203
C037,29,51,1836,1043.2326482419023,0.6170508998412434,0.423942885276629,3987.9786881590203
C037,29,52,1872,1043.2326482419023,0.6170508998412434,0.423942885276629,3987.9786881590203
C037,29,53,1908,1043.2399879847485,0.6170552411499012,0.423942885276629,3987.9786881590203
C037,29,54,1944,1043.2399893502802,0.6170552419575854,0.423942885276629,3987.9786881590203
C037,29,55,1980,1043.2823961706363,0.6170803247295866,0.423942885276629,3987.9786881590203
C037,29,56,2016,1043.2823961706363,0.6170803247295866,0.423942885276629,3987.9786881590203
