d1,d2,d3,d4,d5,w1,w2,pitch_mm,height_mm,thickness_mm
1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,0.000000000000000000e+00,7.393437857993595541e-03,7.900000000000000355e+00,3.294812084026231158e+00,1.788810940386562631e-01
1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.069017386027345931e-02,7.900000000000000355e+00,2.579533499175766131e+00,2.187222684594427868e-01
1.000000000000000000e+01,1.000000000000000056e-01,9.754886008824009025e+00,1.000000000000000056e-01,1.000000000000000000e+01,0.000000000000000000e+00,5.346291245934205183e-02,7.900000000000000355e+00,2.632982890010774568e+00,1.762692266661455287e-01
7.835482387570095852e+00,1.022864007180743551e+00,8.851456748960213616e+00,2.364540501516484650e+00,1.000000000000000000e+01,3.880163709899424329e-02,0.000000000000000000e+00,7.900000000000000355e+00,2.247373250602100025e+00,1.499999999999999944e-01
8.868828563117769903e+00,3.847565996215390083e+00,7.587755218353781750e+00,6.438287353357554643e+00,1.000000000000000000e+01,8.459341566517225575e-02,0.000000000000000000e+00,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,0.000000000000000000e+00,7.401845088775269033e-03,7.900000000000000355e+00,3.183919920863856667e+00,1.974398622757061184e-01
1.000000000000000056e-01,9.252725972893291129e+00,5.509699946512452762e+00,4.949847944908359665e+00,1.000000000000000000e+01,8.890715485578028210e-02,0.000000000000000000e+00,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000000e+01,2.067092380594167444e+00,8.856997613171552430e+00,5.133839979193899339e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000056e-01,1.000000000000000000e+01,6.518019319793987520e+00,5.328566465325467405e+00,1.000000000000000000e+01,4.293529251430147631e-02,0.000000000000000000e+00,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
7.382768003294873260e+00,2.418490752112671505e+00,7.568067770021968066e+00,5.206890239513441543e+00,1.000000000000000000e+01,2.479968624363711530e-02,1.045400178808100419e-02,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
2.044046037095383461e+00,1.000000000000000000e+01,7.127948358725806344e+00,1.000000000000000000e+01,1.000000000000000000e+01,7.124592127712224554e-02,0.000000000000000000e+00,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
7.887850660764412325e+00,3.668218985064676030e+00,6.879991419625643978e+00,2.191777230697954160e+00,1.000000000000000000e+01,5.846889698520890688e-02,0.000000000000000000e+00,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.088433708235317224e-02,7.900000000000000355e+00,2.809324197386686706e+00,2.260556698143384446e-01
1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,0.000000000000000000e+00,5.529560812556826715e-02,7.900000000000000355e+00,2.794759965263154289e+00,2.204757223604452143e-01
1.000000000000000056e-01,5.649018279999783232e+00,5.025684905976996575e+00,5.573192985092997098e+00,1.000000000000000000e+01,9.001004605249128543e-02,4.781592026521604144e-02,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
4.201275575546016938e+00,9.502248316062527067e+00,6.487375510695935432e+00,3.517175148705089072e+00,1.000000000000000000e+01,1.097216675332806646e-01,0.000000000000000000e+00,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.900000000000000355e+00,2.639025188144818568e+00,2.246792926390477896e-01
1.000000000000000000e+01,5.094172665055108240e+00,8.622205809121458842e+00,3.378518201392108899e+00,1.000000000000000000e+01,1.225833936466949881e-01,1.106268275552528546e-02,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000000e+01,5.451948637295068067e+00,8.559247991937080968e+00,1.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,7.688187306652863318e-02,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,3.874581241056784114e-02,1.144654433206138133e-01,7.900000000000000355e+00,4.000000000000000000e+00,1.612980485003617792e-01
9.979662888035507606e+00,3.763430405829565117e+00,7.474169259178773395e+00,2.009426857394527310e+00,1.000000000000000000e+01,1.014823950428792310e-01,0.000000000000000000e+00,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,0.000000000000000000e+00,5.977507790206864485e-02,7.900000000000000355e+00,3.381111849147629300e+00,1.805685076970472425e-01
4.258954288393530518e+00,7.718623025154218276e+00,7.413054207295168396e+00,8.791069052558880159e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000056e-01,6.366562500224667076e+00,6.190280512012170000e+00,8.846463212915358199e+00,1.000000000000000000e+01,2.598583379332737218e-04,0.000000000000000000e+00,7.900000000000000355e+00,2.200832189930383098e+00,1.499999999999999944e-01
8.318731526049331748e+00,1.395464279021050302e+00,7.674225674086027738e+00,1.000000000000000056e-01,1.000000000000000056e-01,5.496483291294033957e-02,0.000000000000000000e+00,7.900000000000000355e+00,2.354819988003779674e+00,1.499999999999999944e-01
1.000000000000000000e+01,1.587718370785521138e+00,1.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000000e+01,6.061386617531530518e+00,1.000000000000000000e+01,3.594116938270458528e-01,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
9.178713573443630480e+00,6.266049729943133251e+00,1.000000000000000000e+01,3.606475919046103762e-01,1.000000000000000056e-01,1.534072742748673335e-01,0.000000000000000000e+00,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
9.240992337121912925e+00,7.296948858277355399e+00,9.177245517876752245e+00,1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.900000000000000355e+00,2.388280863062427706e+00,1.499999999999999944e-01
1.000000000000000000e+01,1.000000000000000056e-01,5.227674750278845650e+00,1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,4.215391110220312321e-02,7.900000000000000355e+00,3.673202547908291926e+00,1.506534562772464392e-01
9.114726199079887792e+00,1.569593154927484191e+00,9.265217374871527412e+00,1.000000000000000000e+01,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000000e+01,5.815536399123548694e-01,9.680768469298747902e+00,1.000000000000000000e+01,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000000e+01,1.000000000000000056e-01,5.875414989185430592e+00,1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.614669035354151377e-02,7.878312776208112211e+00,2.666192874788035017e+00,1.499999999999999944e-01
8.395116649797842001e+00,7.871297811993589022e+00,9.957351981960364640e+00,1.000000000000000056e-01,1.000000000000000056e-01,6.027943806905465551e-02,1.094141501466271323e-02,7.900000000000000355e+00,2.412690934591950498e+00,1.499999999999999944e-01
1.000000000000000000e+01,1.000000000000000056e-01,4.584983732128958600e+00,1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.845189644423650854e+00,2.973363937970849857e+00,1.836457135391331985e-01
9.060684455745164456e+00,9.948642212059269241e+00,7.284846591578693520e+00,1.000000000000000000e+01,1.000000000000000056e-01,0.000000000000000000e+00,2.609477903499173718e-03,7.900000000000000355e+00,2.232668498322702977e+00,1.499999999999999944e-01
8.999415921152271736e+00,2.594466551267898602e+00,9.385394563642977417e+00,1.000000000000000000e+01,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000000e+01,1.000000000000000056e-01,4.975018674153977472e+00,1.000000000000000056e-01,1.000000000000000056e-01,9.411062667083985867e-02,6.748475120723973486e-02,7.851967730674507706e+00,3.203323772170571182e+00,2.245500837553320861e-01
1.000000000000000000e+01,5.586783104132764244e+00,7.275639883598397084e+00,1.000000000000000000e+01,1.000000000000000056e-01,0.000000000000000000e+00,7.889168326302924790e-04,7.892010359460269520e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000000e+01,1.000000000000000056e-01,8.242914166511820184e+00,6.516012150219384402e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.885826432096009420e+00,2.508068095893643878e+00,1.499999999999999944e-01
1.000000000000000000e+01,3.464162358669951924e+00,7.950631949310087876e+00,4.077392528933359017e-01,1.000000000000000056e-01,0.000000000000000000e+00,4.041487816205367734e-02,7.848170534688440725e+00,2.207600010126721912e+00,1.499999999999999944e-01
